emp_no,birthday,firstname,lastname,sex,hiredate,salary
10084,5/25/60,Tuval,Kalloufi,M,12/15/95,68970
10085,11/7/62,Kenroku,Malabarba,M,4/9/94,72537
10086,11/19/62,Somnath,Foote,M,2/16/90,79783
10087,7/23/59,Xinglin,Eugenio,F,9/8/86,33367
10088,2/25/54,Jungsoon,Syrzycki,F,9/2/88,65149
10089,3/21/63,Sudharsan,Flasterstein,F,8/12/86,78234
10090,5/30/61,Kendra,Hofting,M,3/14/86,14892
10091,10/4/55,Amabile,Gomatam,M,11/18/92,42372
10092,10/18/64,Valdiodio,Niizuma,F,9/22/89,92086
10093,6/11/64,Sailaja,Desikan,M,11/5/96,80241
10094,5/25/57,Arumugam,Ossenbruggen,F,4/18/87,57585
10095,1/3/65,Hilari,Morton,M,7/15/86,98504
10096,9/16/54,Jayson,Mandell,M,1/14/90,51444
10097,2/27/52,Remzi,Waschkowski,M,9/15/90,13533
10098,9/23/61,Sreekrishna,Servieres,F,5/13/85,75242
10099,5/25/56,Valter,Sullins,F,10/18/88,35867
